GPU_01|MSI GeForce GTX 1660 6 GB VENTUS XS OC Video Card|214.99|MSI|GeForce GTX 1660|6 GB|1530 MHz|1830 MHz
GPU_02|Gigabyte Radeon RX 5700 XT 8 GB GAMING OC Video Card|419.99|Gigabyte|Radeon RX 5700 XT|8 GB|1650 MHz|1905 MHz
GPU_03|MSI GeForce GTX 1660 SUPER 6 GB VENTUS XS OC Video Card|239.99|MSI|GeForce GTX 1660 SUPER|6 GB|1530 MHz|1815 MHz
GPU_04|Gigabyte GeForce RTX 2060 6 GB OC Video Card|319.99|Gigabyte|GeForce RTX 2060|6 GB|1365 MHz|1755 MHz
GPU_05|Gigabyte GeForce RTX 3080 10 GB AORUS MASTER Video Card|849.99|Gigabyte|GeForce RTX 3080|10 GB|1440 MHz|19000 MHz
GPU_06|PowerColor Radeon RX 5700 XT 8 GB Video Card|389.99|PowerColor|Radeon RX 5700 XT|8 GB|1605 MHz|1905 MHz
GPU_07|Gigabyte GeForce RTX 2060 6 GB WINDFORCE OC Video Card|339.99|Gigabyte|GeForce RTX 2060|6 GB|1680 MHz|1770 MHz
GPU_08|Asus GeForce GTX 1660 SUPER 6 GB STRIX GAMING Advanced Video Card|249.99|Asus|GeForce GTX 1660 SUPER|6 GB|1530 MHz|1845 MHz
GPU_09|MSI GeForce RTX 2080 Ti 11 GB GAMING X TRIO Video Card|1279.99|MSI|GeForce RTX 2080 Ti|11 GB|1350 MHz|1755 MHz
GPU_10|Gigabyte Radeon RX 580 8 GB GAMING 8G Video Card|199.99|Gigabyte|Radeon RX 580|8 GB|1257 MHz|1355 MHz
GPU_11|MSI Radeon RX 5600 XT 6 GB GAMING X Video Card|299.99|MSI|Radeon RX 5600 XT|6 GB|1235 MHz|1620 MHz
GPU_12|Gigabyte GeForce RTX 3090 24 GB AORUS MASTER Video Card|1699.99|Gigabyte|GeForce RTX 3090|24 GB|1400 MHz|1785 MHz
GPU_13|MSI GeForce GTX 1660 6 GB VENTUS XS OC Video Card|214.99|MSI|GeForce GTX 1660|6 GB|1530 MHz|1830 MHz
GPU_14|Gigabyte Radeon RX 5700 XT 4 GB GAMING OC Video Card|219.99|Gigabyte|Radeon RX 5700 XT|8 GB|1650 MHz|1905 MHz
GPU_15|MSI GeForce GTX 1660 SUPER 8 GB VENTUS XS OC Video Card|349.99|MSI|GeForce GTX 1660 SUPER|6 GB|1530 MHz|1815 MHz
GPU_16|Gigabyte GeForce RTX 2060 6 GB OC Video Card|319.99|Gigabyte|GeForce RTX 2060|6 GB|1365 MHz|1755 MHz
GPU_17|Gigabyte GeForce RTX 3070 8 GB AORUS MASTER Video Card|749.99|Gigabyte|GeForce RTX 3070|10 GB|1440 MHz|19000 MHz
GPU_18|PowerColor Radeon RX 5700 XT 8 GB Video Card|389.99|PowerColor|Radeon RX 5700 XT|8 GB|1605 MHz|1905 MHz
GPU_19|Gigabyte GeForce RTX 2060 6 GB WINDFORCE OC Video Card|339.99|Gigabyte|GeForce RTX 2060|6 GB|1680 MHz|1770 MHz
GPU_20|Asus GeForce GTX 1660 SUPER 6 GB STRIX GAMING Advanced Video Card|249.99|Asus|GeForce GTX 1660 SUPER|6 GB|1530 MHz|1845 MHz
GPU_21|MSI GeForce RTX 2080 Ti 11 GB GAMING X TRIO Video Card|1279.99|MSI|GeForce RTX 2080 Ti|11 GB|1350 MHz|1755 MHz
GPU_22|Gigabyte Radeon RX 580 8 GB GAMING 8G Video Card|199.99|Gigabyte|Radeon RX 580|8 GB|1257 MHz|1355 MHz
GPU_23|MSI Radeon RX 5600 XT 6 GB GAMING X Video Card|299.99|MSI|Radeon RX 5600 XT|6 GB|1235 MHz|1620 MHz
GPU_24|Gigabyte GeForce RTX 3090 24 GB AORUS MASTER Video Card|1699.99|Gigabyte|GeForce RTX 3090|24 GB|1400 MHz|1785 MHz
GPU_25|MSI GeForce GTX 1660 6 GB VENTUS XS OC Video Card|214.99|MSI|GeForce GTX 1660|6 GB|1530 MHz|1830 MHz
GPU_26|Gigabyte Radeon RX 5700 XT 8 GB GAMING OC Video Card|419.99|Gigabyte|Radeon RX 5700 XT|8 GB|1650 MHz|1905 MHz
GPU_27|MSI GeForce GTX 1660 SUPER 6 GB VENTUS XS OC Video Card|239.99|MSI|GeForce GTX 1660 SUPER|6 GB|1530 MHz|1815 MHz
GPU_28|Gigabyte GeForce RTX 2060 6 GB OC Video Card|319.99|Gigabyte|GeForce RTX 2060|6 GB|1365 MHz|1755 MHz
GPU_29|Gigabyte GeForce RTX 3070 8 GB AORUS MASTER Video Card|649.99|Gigabyte|GeForce RTX 3070|10 GB|1440 MHz|19000 MHz
GPU_30|PowerColor Radeon RX 5700 XT 10 GB Video Card|689.99|PowerColor|Radeon RX 5700 XT|8 GB|1605 MHz|1905 MHz
